_id,OCCUPANCY_DATE,SECTOR,SHELTER_POSTAL_CODE,CAPACITY,SHELTER_PROVINCE,FACILITY_NAME,SHELTER_NAME,OCCUPANCY,ORGANIZATION_NAME,SHELTER_ADDRESS,SHELTER_CITY,PROGRAM_NAME
1914685,2021-01-01T05:00:00,Families,M1E 2M6,200,ON,Family Residence - Edward Villag,Family Residence,0,City of Toronto,4222 Kingston Road,Toronto,Family Residence - Edward Village Hotel
1914686,2021-01-01T05:00:00,Families,M1E 2M6,200,ON,Family Residence - LI Site,Family Residence,43,City of Toronto,4222 Kingston Road,Toronto,Family Residence - LI Site (Internal Referral Only)
1914687,2021-01-01T05:00:00,Families,M1E 2M6,48,ON,Family Residence - MA Site,Family Residence,37,City of Toronto,4222 Kingston Road,Toronto,Family Residence - MA Site (Internal Referral Only)
1914688,2021-01-01T05:00:00,Families,M1E 2M6,20,ON,Family Residence - Main Building,Family Residence,56,City of Toronto,4222 Kingston Road,Toronto,Family Residence - Main
1914689,2021-01-01T05:00:00,Families,M1E 2M6,0,ON,Family Residence - New Plaza,Family Residence,0,City of Toronto,4222 Kingston Road,Toronto,Family Residence - New Plaza (Internal Referral Only)
1914690,2021-01-01T05:00:00,Families,M1E 2M6,50,ON,Family Residence - Roycroft Site,Family Residence,0,City of Toronto,4222 Kingston Road,Toronto,Family Residence - Roycroft Site
1914691,2021-01-01T05:00:00,Co-ed,M5V 3W3,73,ON,Fort York - Staybridge Suites,Fort York Residence,67,City of Toronto,38 Bathrust St,Toronto,Fort York - Staybridge Suites
1914692,2021-01-01T05:00:00,Men,M5V 3W3,15,ON,Fort York Res 38 Bathurst St.,Fort York Residence,0,City of Toronto,38 Bathrust St,Toronto,Fort York Extreme Weather Program
1914693,2021-01-01T05:00:00,Men,M5V 3W3,37,ON,Fort York Res 38 Bathurst St.,Fort York Residence,32,City of Toronto,38 Bathrust St,Toronto,Fort York Residence Bedded Program
1914694,2021-01-01T05:00:00,Men,M5V 3W3,24,ON,Fort York Res 38 Bathurst St.,Fort York Residence,23,City of Toronto,38 Bathrust St,Toronto,Fort York SRO Units Program
1914695,2021-01-01T05:00:00,Families,M5A 2R9,110,ON,Robertson House,Robertson House,86,City of Toronto,291 Sherbourne Street,Toronto,Robertson House - MAIN Program
1914696,2021-01-01T05:00:00,Men,M1M 1P8,66,ON,3306 Kingston Road,Scarborough Village Residence,61,City of Toronto,3306 Kingston Road,Toronto,Scarborough Village Residence Main Program
1914697,2021-01-01T05:00:00,Men,M5A-2N2,51,ON,Junction Place,Seaton House,51,City of Toronto,339 George Street,Toronto,Junction Place
1914698,2021-01-01T05:00:00,Men,M5A-2N2,38,ON,Seaton House - 339 George Street,Seaton House,31,City of Toronto,339 George Street,Toronto,Seaton House - Annex Harm Reduction & Managed Alcohol Program
1914699,2021-01-01T05:00:00,Men,M5A-2N2,60,ON,Seaton House - 339 George Street,Seaton House,52,City of Toronto,339 George Street,Toronto,Seaton House - Fourth Floor Program
1914700,2021-01-01T05:00:00,Men,M5A-2N2,66,ON,Seaton House - 339 George Street,Seaton House,66,City of Toronto,339 George Street,Toronto,Seaton House - Hostel Program
1914701,2021-01-01T05:00:00,Men,M5A-2N2,22,ON,Seaton House - 339 George Street,Seaton House,18,City of Toronto,339 George Street,Toronto,Seaton House - Infirmary Bedded Program
1914702,2021-01-01T05:00:00,Men,M5A-2N2,22,ON,Seaton House - 339 George Street,Seaton House,18,City of Toronto,339 George Street,Toronto,Seaton House - O'Neill Harm Reduction Program
1914703,2021-01-01T05:00:00,Co-ed,M5V 1X1,12,ON,129 Peter St,Streets To Homes,11,City of Toronto,129 Peter Street,Toronto,Streets to Homes Bedded Program
1914704,2021-01-01T05:00:00,Co-ed,M5T 1H9,92,ON,Womens Res-Alexandra Hotel,Women's Residence,74,City of Toronto,674 Dundas St. W,Toronto,Women's Res-Alexandra Hotel
1914705,2021-01-01T05:00:00,Women,M5T 1H9,9,ON,Womens' Res - 63 Bellwoods Ave.,Women's Residence,5,City of Toronto,674 Dundas St. W,Toronto,Womens' Residence - Bellwoods House
1914706,2021-01-01T05:00:00,Women,M5T 1H9,5,ON,Womens' Res - 674 Dundas St. W,Women's Residence,5,City of Toronto,674 Dundas St. W,Toronto,Women's Residence Extreme Weather Program
1914707,2021-01-01T05:00:00,Women,M5T 1H9,46,ON,Womens' Res - 674 Dundas St. W,Women's Residence,45,City of Toronto,674 Dundas St. W,Toronto,Womens' Residence - Main Program
1914708,2021-01-01T05:00:00,Men,M6C 1C2,20,ON,Cornerstone 616 Vaughan Rd.,Cornerstone Place,20,Cornerstone Place,616 Vaughan Road Toronto,Toronto,Cornerstone Place
